 ;FR;PA80;swo;gyeli;bekwel;bekol;konzime;makaa;mpiemo;kwasio;njem;shiwa;BC (BLR3);Reconstr. Régionales (BLR 3);Reconstr. Mougiama, Hombert;;Mots que je pourrai ajouter;;
202. ;cheval 2 ;°jánɡá ;;; ; ;jáŋá / bìjáŋá ; ;jānɡā ; ;jáŋá ; ; ; ; ;;mille;tɔ́dyínì / batɔ́dyínì;
203. ;cheveu ;°(N-)bùŋÀ ;;;b̥wòò / mɛ̀b̥wòò ;mpùŋə̀ ;mpùò / mèmpùò ;mpwò  / ìmpwò  ; ; ;mpùò ; ; ; ; ;Possible de faire cognat avec swo et gyeli;amant, petit(e)-ami(e);letóndí / matóndí;
204. ;cheveux blancs ;°(N-)bî ;mbvíìʔ;mbvú;kɔ̀b̥î / mɛ̀kɔ̀ mɛ̀bɛ́b̥î;mpí ;mpî / mpî ;mpî / mə̀mpî; ;mvu / mvu mbɔ mvaŋ ; ; ;*búɩ̀ (BCDEFGHJ KLMNPRS); ; ;;clou;tɔ̀ndɔ̀ / batɔ̀ndɔ̀;
205. ;chèvre ;°kála ;ì-kə́là / bìkə́là;; ;kálà / bèkálà ; ;kálá / ìkálá ; ;cɛlɛ / bicɛlɛ ; ; ; ; ; ;;intérieur;tù;
206. ;chèvre, mouton ;°tàb(Ò) ;ì-túò / bìtúò ~ ìtwóà / bìtwóà;tàwɔ̀ / betàwɔ̀;tâw / ìtâw ;tóòb / bètóòb ;tàb / bìtàb ;tòw / ìtòw ;tàà ;too / bitoo ;tàb ;tò / bìtò ; ;*tàbà (ABCH); ;;pays;túmbɔ́ / betúmbɔ́;
207. ;chien ;°(N-)bíÀ ;mbī / bə̀mbī;mbwɛ̌ / bambwɛ̌;b̥jɛ̂ / bɛ̀b̥jɛ̂ ;mpjó / bòmpjó ;mpjê / òmpjê ;mpjə̂ / òmpjə̂;mpî ;mbi / bɔmbi ;mpwê ;m̀-pí / bə̀mpí;*bʊ́à ; ; ;;flotter;túnɔwɔ;
208. ;chimpanzé ;°ɡwàKV ;wàʔ / bə̀wàʔ;wàà / bawàà;wà / bɛ́wà ; ;ɡbàʔ / òɡbàʔ ;wààɡ / òwààɡ ;wàɡɔ̀ ; ;ɡwàʔ ; ; ; ; ;gyeli : noter absence de voyelles glottalisées;vivre;tsìɛ̀ (npp : ntsìgá);
209. ;choisir ;°pɛ́ɛ̀s ;pɛ́ɛ̀;pɛ̂; ;fə̀z ;è-pɛ̂h ;fɛ́ɛ́ʃ; ;pɛɛ ;lè-pɛ̂h; ; ; ; ;;toilette;dvúgó / múgó;
210. ;chose 1 ;°sâ ;ì-sá / bìsá;sâ / besâ;sâ / ìsâ ;sâ / bèsâ ;sâ / bìsâ ;sâ / ìsâ ;sání ;sa / bisa ;sâ ;ʃâ / bìʃâ ; ; ; ;;emballage avec feuilles;dúmbɔ́ / múmbɔ́;
211. ;chose 2 ;°sáKÒ ;;; ; ;sɔ̂ʔ / bìsɔ̂ʔ ; ;sáɡɔ̄ ; ;sɔ́ʔɔ̌; ; ; ; ;;désirer, avoir envie;vɛ́sɔ;
212. ;chute d'eau ;°sòKV́ ;;le-sùKù / masùKù;ɛ̀-sòk / mɛ̀sòk ; ;è-sʊ̌ʔ / mèsʊ̌ʔ ; ;à-ʃòɡɔ̀ ;swəˤ / maswəˤ ;lè-sʊ̌ʔ ; ; ; ; ;;être léger;víyã̀sa;
213. ;cicatrice ;°bàmà ;ì-bàm / bìbàm;bàmò / bebàmò;bàm / b̥àm ;bàm ;bàm / bìbàm ;bààm / ìbààm ;ɓàmɔ̀ ;bama / bibama ; ; ; ; ; ;;toucher;víyala;
214. ;ciel  ;°ɡúÒ ;ɡvwúə̄;dyúwɔ̀;ɡwóò ; ; ; ;ɡūɔ̀ ; ; ;ɡúò ; ; ; ;;faire un câlin, embrasser;vúba nà;
215. ;cil ;°kɔ́nɟV̀ ;mìŋ-kwà (mímí'í);;kôz / mìkôz ; ;kóhò / mìkóhò ; ;kɔ́mì; ;kœ̂h ; ; ; ; ;;entourer;vyámbɛlɛ;
216. ;cinq ;°tánV̀;tán;tánɛ̀;í-tɛ̂n;tón ;tɛ̂n ;tôn ;táání ;n-tan / bitan ;tɛ̂n;bì-tánì ;*táànò ; ; ;;heure, temps;lewùlà / mawùlà;
217. ;circoncision ;°(N-)bón ;;tsíɛ̀sámɛ̀ / batsíɛ̀sámɛ̀;b̥ón / bɛ̀b̥ón ; ;mpʊ́n / mèmpʊ́n ; ; ; ;mpʊ́n; ; ; ; ;;désir, souhait;lewúmbɛ́ / mawúmbɛ́;
218. ;ciseaux ;°ɟò ;ŋ̀-ɟə̀wò / mìŋɟə̀wò;ndyàwɔ̀ / mandyàwɔ̀;ɲɟ̥ô / míɲɟ̥ô;nɟù ;nɟò / mìnɟò ;nɟù / mìnɟù ; ;nɟɔwa / binɟɔwa ;nɟò ; ; ; ; ;;Ewondo;wúnjɔ̀ɔ̀;
219. ;citron ;°(a)píŋ(a) ;ì-yàpíyə̀ / bìyà píyə̀;; ;ǎ-fíjò / bǎfíjò;nàpjɔ́ɔ̀ / bìnàpjɔ́ɔ̀ ;àfjá / wàfjá ; ;ɲɔ-pfiaŋ / biɲɔpfiaŋ ; ; ; ; ; ;;feuille de bananier morte/sèche;wùsà / bewùsà;
220. ;civette ;°ɟɔ̀b(á) ;ì-ɡwāā / bìɡwāā;gwàwɔ́ / begwàwɔ́;ɡɔ̌w / ìɡɔ̌w;ɟwàb / bòɟwàb ;ɟwǎb / bìɟwǎb ; ; ;ɟɥa / biɟɥa ;ɟwɔ̌b; ;*jòbó ; ; ;;sécheresse;wúsɛ̀ / bewúsɛ̀;
221. ;clairière ;°ɟɛ̂nɟ ;ì-yə̀ə́lə̀ / bìyə̀ə́lə̀;; ;jénɟ / bèjénɟ ;ɟwê / bìɟwê ; ;wjɛ̂ ; ;ɟwê ; ; ; ; ;;soif;yɛ́’ɛ́ / beyɛ́’ɛ́;
222. ;clavicule ;°bèndÁ ;;;bjéd / bɛ̀bjéd ; ;bèné / òbèné ; ; ; ;bjěn ; ; ; ; ;;;mbìmbó / mimbìmbó;
223. ;clé ;°sàp ;;;sàp / bɛ̀sàp  ; ;sàb / òsàb ; ; ; ;sàb ; ; ; ; ;;;;
224. ;cloche ;°bɛ̀nɡÉ ;bə̀ŋɡə́ / màbə̀ŋɡə́;; ;è-mbə̀nɡé / mòmbə̀nɡé ;è-bèŋé / mèbèŋé ; ; ;bɛ̀nɡɛ́ / mabɛ̀nɡɛ́ ;lè-bèŋé ; ; ; ; ;;qwer;;
225. ;clochette ;°kɛ́lá;;; ; ;nkálá / bìnkálá ;nkɛ́ɛ́lə̀ / mə̀nkɛ́ɛ́lə̀; ; ;nkálá ; ; ; ; ;;;;
226. ;clôture ;°káK ;káʔ / màkáʔ;n-káálɔ́ / minkáálɔ́;ɛ̀-ká / mɛ̀ká ;è-kɔ̂ɡ / mòkɔ̂ɡ ;è-kɔ̂ʔ / mèkɔ̂ʔ ; ; ;n-káˤlɛ́ / minkáˤlɛ́ ; ; ; ; ; ;;;;
227. ;cochon ;°(N-)ɡòÍ ;ŋ̀-ɡùū / bə̀ŋɡùū;ngǒ / bangǒ;nɡúlù / ìnɡúlù;nkù / bònkù ;nkʊ̌ / ònkʊ̌ ;nkùú / ònkùú ;nkòē ;nɡu / bɔnɡu ;nkʊ̌ ;ǹ-kùnkʷárə́ / bə̀nkùnkʷárə́;*ɡʊ̀dʊ́ ; ; ;;;;
228. ;coeur ;°lémà ;ǹ-lə́mə̀ / mìnlə́mə̀;n-lémò / minlémò;ljêm / mìljêm ;lâm / bèlâm ;lémè / mìlémè ;lâm / mìlâm ;lēmɔ̀ ;n-lima / minlima ;ljêm ;límə̀ / bìlímə̀;*tɩ́mà (ABDM); ; ;;;;
229. ;colère 1 ;°búKV́ ;;le-bvúú / mabvúú;ɛ̀-bùk ; ;è-búʔ / mèbúʔ ; ; ; ;lè-búʔú ; ; ; ; ;gyeli : colère, malheur;;;
230. ;colère 2 ;°pì ;mbvìmbə̀ / màmbvìmbə̀;; ;mpìmbə̀ ; ;mpìmbə̀ / ìmpìmbə̀;nkàmbì ; ; ; ; ; ; ;;;;
231. ;collier 1 ;°ɟɛ̂ ;;;nɡɥɛ̂ / mìnɡɥɛ̂ ; ;nɟwê / mìnɟwê ;n-ɟə̂ / mìnɟə̂; ; ; ; ; ; ; ;;;;
232. ;collier 2 ;°sánɡá ;ǹ-sáŋɡī / mìnsáŋɡī;;ɛ̀-sàkà / mɛ̀sàkà;sánɡá / mə̀sánɡá ; ;sánɡá / ìsánɡá ; ; ;mìn-sáŋá ; ; ; ; ;;;;
233. ;colline ;°bV́nɡ ;;; ;m-bə́mbɔ́ŋ / mèmbə́mbɔ́ŋ ; ;m-bə́mbə́ŋ / mìmbə́mbə́ŋ; ; ; ;m̀-bjə́ʔ / mìmbjə́ʔ; ; ; ;Possible de faire cognat avec swo et gyeli;;;
234. ;colobe guereza ;°ánV̀ ;;;ɟân / b̥jân ; ;ɟân / mpjân ;ɟân / mpjân ;ɟānɔ̀ ; ;ɟân ; ; ; ; ;;;;
235. ;colonne vertébrale;°kala ;ŋ̀-kàʔàlə̀ / mìŋkàʔàlə̀;(vìsɔ́ yá) n-káàlɛ̀ / bevìsɔ́ bé mínkáàlɛ̀;kálákòŋ / ìkálákòŋ;è-kálɔ̀kwɔ̀ŋ ;è-kǎékòò / mèkǎ mé kòò ; ;kǎ ; ; ; ; ; ; ;;;;
236. ;combien ? ;°(N-)denɡ(a);;;ì-d̥ěn / bɛ̀d̥ěn ; ;ntíá ; ;ntīāŋ ;taŋ (na); ; ; ; ; ;;;;
237. ;commander ;°ɟùì ;ɡwíì;;ɛ̀-ɡɥíì (dɛ̀l); ;è-ɟǿø̀ ;ɟúù ; ;dzi (bvuɔ);lè-ɟwɩ́ɩ̀; ; ; ; ;;;;
238. ;commencer ;°tádà  ;táàɾè;táKàlɛ ; ; ;è-táàrè ;tádə̀lə̀; ;taarɛ ;lè-táárô ;táʁə̀ɡə̀ ; ; ; ;;;;
239. ;comment ? ;°ɲá ;;(ɛ́) ná ; ; ;ɲá ; ;ɲā ;na (ɡi) ; ; ; ; ; ;;;;
240. ;compter, lire ;°láŋà ;lâŋ;lâ̰;ɛ̀-láà ; ;è-láà ;lô;à-lâŋ ;laŋ ;lè-láà ;làŋà;*tánɡ ; ; ;;;;
241. ;construire ;°sùmà ;ʃùmə̀;;ɛ̀-sùm  ;ʃùmɛ̀ ;è-sùmò ;ʃùmə̀ ; ; ;lè-sùmò ; ; ; ; ;;;;
242. ;content 1 ;°mɛ̀là ;;;ɛ̀-mjàlà ; ;è-mɛ̀ɛ̀làè ; ; ; ;lè-mjɛ̀ɛ̀là ; ; ; ; ;;;;
243. ;content 2 ;°sÒsà ;;ma-sɔ̀sí; ;ʃwààz ;è-sòhò ;ʃàs ; ;susɛ ; ; ; ; ; ;;;;
244. ;coquille ;°bòndV́ ;;bùdɛ́ / bebùdɛ́; ;bùùnd / mpùùnd ;b-ʊ̌n / mpʊ̌n ; ; ;bur (pful) / bɔbur bɔpful ;mpʊbʊn ;bùrə́ ; ; ; ;Possible de faire un cognat entre swo et gyeli;Semble être le même mot que 'épluchure' dans plusieurs langues;;
245. ;corbeau ;°ɡwàŋ ;ì-ŋbàŋ / bìŋbàŋ;mgbà̰ / bemgbà̰; ;nɡbàŋ ; ; ; ;nɡbaŋ / binɡbaŋ ;nɡbàŋ ; ;*kánɡà ; ; ;;;;
246. ;corbeille ;°kàT ;ì-kàɾī / bìkàɾī;n-kwɛ̌ / minkwɛ̌;kàt / ìkàt ;kàr / bə̀kàr;kǎr / bìkǎr ; ;kàrɔ̄ ; ;kǎr ; ; ; ; ;;;;
247. ;corde ;°kùlù ;ŋ̀-kwòòlə̀ / mìŋkwòòlə̀;kòyà / bekòyà; ;kùùl / mèkùùl ;kùlùù / òkùlùù ; ; ; ;kùlù ; ; ;*kùdù (C) ; ;;;;
248. ;corde, liane ;°kɔ̀lÍ ;;n-kɔ̀lɛ́ / minkɔ̀lɛ́;kól / mìkól ;kôl ;kǒl / mìkǒl ; ;kɔ̀lī;n-kwɛl / minkwɛl ;kǒl ;kwɛ́lí / mìkwɛ́lí;*ɡòdí ; ; ;;;;
249. ;corne ;°làKÒ ;ǹ-làʔ / mìnlàʔ;n-làà / minlàà;là / mìlà ;làɡ / mòlàɡ ; ;lààɡ / mìlààɡ ;làɡɔ̀ ;n-laˤ / minlaˤ ;làʔ ;mə̀-làʔ; ; ; ;;;;
250. ;corps ;°ɲólÌ ;ɲúlù / màɲúlù;n-yúlɛ̀ / manyúlɛ̀;ɲîl / mɛ̀ɲîl ;ɲún / mòɲún ;ɲûl / mèɲûl ;ɲûl / mə̀ɲûl;ɲōlì ;ɲul / maɲul ;ɲʊ̂l;ŋúlì / mə̀ŋúlì;*jʊ́tʊ̀ ; ; ;;;;
251. ;côte ;°(N-)bànɟV̀ ;m̀-bàŋɟə̀;mpàndyì / mampàndyì;b̥àz / ìb̥àz ;mpànɟ / bèmpànɟ ;mpàh / bìmpàh ;mpɛ̀nʒ / ìmpɛ̀nʒ; ;mbʰɔa / mambʰɔa ;mpàh ;mpà / bìmpà ; ;*bànjɩ́ (ABCH) ; ;;;;
252. ;côté ;°pâK ;m̀-páʔà / mìmpáʔà;;pâ ;fáɡ ;pâʔ / mìpâʔ ; ; ; ;pâʔ ; ; ; ; ;;;;
253. ;cou ;°cíŋ(Ó) ;tsə̄ŋ / màtsə̄ŋ;tsḭ́ / matsḭ́;cóŋ / mɛ̀cóŋ ;cóŋ / mòcóŋ ;cwíí / mècwíí ;cjúŋ / mə̀cjúŋ;cīīŋ ;tsiuŋ / matsiuŋ ;cíí (lèlàr);tsú / mə̀tsú;*kínɡó ; ; ;;;;
254. ;coudre ;°làTÀ ;lààɾə̀;lɔ̀;ɛ̀-làt ;lààd ;è-làr ;lààd ;à-làrɔ̀ ; ; ; ; ; ; ;;;;
255. ;couler 1 ;°ɡô ;;;ɛ̀-wô ; ;è-ɡʊ̂ ;wô ; ; ; ; ; ; ; ;Possible de faire un cognat avec swo et gyeli;;;
256. ;couler 2 ;°tóPà ;;; ;ntóbà ; ; ; ;tua ;lè-tô (pìʔɩ́); ; ; ; ;;;;
257. ;couper 1 ;°cíKÀ ;tsə́ɡə̀;tsíɛ̀;ɛ̀-cíkɛ̀lò ;cìɡ ;è-cíʔè ; ; ;tsiəˤ ;lè-cíɡô ;tsə̂ʔ; ; ; ;;;;
258. ;couper 2 ;°cínɡàlà ;;; ;cíɡə̀lɔ̀ ;è-cìŋlè ;cíɡàl ;à-cɛ̄ɡɔ̀ ; ;lè-cícìɡò ; ; ; ; ;;;;
259. ;couper, fendre ;°sàla ;sàlə̀;sàlɛ / sàlɔ; ;sààl ;è-sàl ;sààl ; ;sal ; ;ʃàljá ; ; ; ;gyeli : craquer (bois) ~ couper en longueur;;;
260. ;courage 1 ;°(N-)ɡáŋ ;ŋ̀-kə́ŋɡà / mìŋkə́ŋɡà;;ɛ̀-g̥ɛ́ŋ ;nkóŋ ; ;ì-nkáŋ ; ; ; ; ; ; ; ;;;;
261. ;courage 2 ;°ɲàna ;;;ɛ̀-ɲàn / mɛ̀ɲàn ; ;è-ɲàn / mèɲàn ; ;ɲànáà ; ;mè-ɲàn ; ; ; ; ;;;;
262. ;courageux, guerrier ;°(N-)ɡánɡV́ ;;(mùdì wà) wɔ́ngɔ́ / bùdì bá béwɔ́ngɔ́;g̥ɛ́ŋ / bɛ̀g̥ɛ́ŋ ;nkɔ̀ŋ ;nkɔ́ɔ́ / bìnkɔ́ɔ́ ;nkáŋ / ònkáŋ ;nɡōɡō ;(bɛ) nkanɡa ; ; ; ; ; ;;;;
263. ;courge ;°bɔ̀KV́ ;;;ɛ̀-bók / mɛ̀bók ;lè-bùùɡ / mòbùùɡ ;è-bǒʔ / mèbǒʔ ;bwòòɡú / mə̀bwòòɡú ;à-ɓɔ̀ɡī ;bwəˤ / mabwəˤ ;le-boʔó ; ; ; ; ;;;;
264. ;course ;°kámbV́ ;;; ; ;kám / mìkám ; ;kāāmbɔ̄ ; ;kám ; ; ; ; ;;;;
265. ;court ;°ɡúPlÒ ;;; ; ; ;wúlòw ; ;vulɔɔ ;lè-ɡúblô ; ; ; ; ;;;;
266. ;couteau ;°báKá ;;;ɛ̀-b̥áʰ / mɛ̀b̥áʰ ;è-bááɡ / mòbááɡ ;è-báʔ / mèbáʔ ;báɡə́ / mə̀báɡə́; ; ;lè-báʔá ; ; ;*báká (ABC); ;;;;
267. ;couvrir ;°búdàlà ;vúmbə̀lə̀;;ɛ̀-bútàl ; ;è-bûr ;búdàl ; ; ;lè-búúlô ; ; ; ; ;cf. mot en swo qui ressemble au gyeli : véɾì;;;
268. ;crabe ;°dàKV̀ ;d-ə́ʔə́ / mə́ʔə́;d-á / má; ;d-ààɡ / mààɡ ;d-àá / màá ;dááɡə́ / mə̀dááɡə́; ;d-aˤ / maˤ ;d-àá ;dàʔ / bìdàʔ ;*kádá ? ; ; ;;;;
269. ;cracher ;°sɛ̀V̀ ;sèèy;;ɛ̀-sɛ̀ɛ̀;sjè ;è-sjɛ̀ɛ̀ ;sèj ;à-ʃàɛ̀ ; ;lè-sɛ̀ɛ̀; ; ; ; ;;;;
270. ;crâne, cerveau ;°bɔ̌ŋ;bwɔ̂;bwɔ̂ / bebwɔ̂;bòbò(lô) / ìbòbò(ìmìlô ) ;bwɔ̌ ;bòó / bòó ; ; ;bwɔŋ / bɔbwɔŋ ; ;bwô  / bìbwô  ;*bònɡó ; ; ;;;;
271. ;créer ;°kùsà ;;tɛ̂;ɛ̀-kùs ; ;è-kùhò ; ; ; ;lè-kwìhò ; ; ; ; ;;;;
272. ;crête ;°lɔ̀nɡV́ ;ǹ-dwɔ̀ŋ / màdwɔ̀ŋ;; ;lwɔ̀nɡ / bə̀lwɔ̀nɡ;lòŋó / bìlòŋó ; ; ;ndulɔ̂ / bindulɔ̂ ;lwɔ̌ŋ; ; ; ; ;;;;
273. ;creuser 1 ;°límÀ ;;; ;límə̀ ; ;lúmə̀ ;à-līmɔ̀ ; ; ; ;*tím ; ; ;;;;
274. ;creuser 2 ;°pû ;;;ɛ̀-pû ; ;è-pû ; ; ; ;lè-pû ; ; ;*pùd (AKLR) ; ;Possible de faire cognat avec swo et gyeli;;;
275. ;crevette ;°mɔ̀sV ;;;mɔ̀s / mjás ;mwàz / mèmwàz ; ; ; ; ;mwɔ̀hɔ́; ; ; ; ;Possible de faire cognat avec swo et gyeli;;;
276. ;cri ;°kîm ;;nkéKé / benké’é; ; ;cím / bìcím ;kîm / mə̀kîm; ; ;cím ;;(*kém) (BCF GHJKLNRS) ; ; ;;;;
277. ;crier ;°kímÀ ;;;ɛ̀-cîm ;kə̀m ;è-címè ;kîm ;à-cīmɔ̀ ; ;lè-címô ;;*kém (BCFGHJKLNRS); ; ;;;;
278. ;crochet ;°ɡɔ̌b;kwɔ́ʔ / màkwɔ́ʔ;n-gyɔ́wɔ̀ / mingyɔ́wɔ̀; ; ;nkwǎb / mènkwâb ; ;nkɔ̀ɔ̄; ;nkwɔ̌b; ; ; ; ;;;;
279. ;crocodile ;°(N-)ɡàndV;ŋɡàndə́ / bə̀ŋɡàndə́;nkàndɛ́ / bankàndɛ́; ;nkɔ̀ndô / bònkɔ̀ndô ;nkɛ̌n / bìnkɛ̌n ;nkòòndû / ònkòòndû ;nkàndō ; ;nkɛ̌n; ;*ɡàndʊ́ ; ; ;;;;
280. ;crocodile sp ;°bàn ;;;mbàn / mìmbàn ; ;mbàn / mìmbàn ; ; ; ;mbǎn ; ; ; ; ;;;;
281. ;croquer ;°púKàlà ;;pfúɛlɛ;ɛ̀-pwâl ; ;è-pûʔlò ; ;à-púɡɔ́lɔ̀; ; ; ; ; ; ;;;;
282. ;cuiller ;°tôK ;ì-túʔ / bìtúʔ;túù / betúù; ;tûɡ / bòtûɡ ; ; ; ;twəˤ / bitwəˤ ;tôʔ ; ; ;*tʊ́ɡʊ̀ (AC) ; ;;;;
283. ;cuisine ;Enprunt (français) ;kísìn / bə̀kísìn;kísínì / bakísínì; ;kísìn ;kísìn / bìkísìn ; ; ;kisin / bɔkisin ; ; ; ; ; ;;;;
284. ;cuisiner ;°ɟámbÀ ;ɲámbə̀;gyámbɔ;ɛ̀-ɟâb ;ɟâmb ;è-ɟâm ;ɟáámb ;à-ɟāmbɔ̄ ;ɟambɔ (bidiu);lè-ɟâm ; ;*dámb ; ; ;;;;
285. ;cuisse ;°dò ;dù / màdù;dù / madù;dò / mɛ̀dò ;dù / mòdù ;dʊ̀ / mèdʊ̀ ;ɟùù / mə̀ɟùù; ;ma-du / madu ;dʊ̀ ;dù ; ; ; ;;;;
286. ;cultivateur ;°bɛ̀(Ì)l(Ò) ;;; ;m-bòl (mə̀mpɔ̀ɡ) / bòbòl mə̀mpɔ̀ɡ ;m-bèl / òbèl ò mémpèʔ ; ; ; ;m-bèl ; ; ; ; ;;;;
287. ;cultiver, planter ;°bɛ̀ ;bè;bɛ̀;ɛ̀-bɛ̀ ;bɛ̀ ;è-bè ;bɛ̀ ;à-ɓɛ̀ ;bɛ̀ ;lè-bè ;bɛ̀ ; ; ; ;;;;
288. ;danser ;°bɔ̀là ;;; ;bwàl ;è-bwàl ;bwààlə̀ ;à-ɓɔ̀lɔ̀; ;lè-bwɔ̀l; ; ; ; ;Possible de faire un cognat avec swo et gyeli;;;
289. ;danseur ;°bɔ̀l(V̀) ;;;m-bɔ̀lìl / bɛ̀bɔ̀lìl ;m-bwɔ̀l / bòbwɔ̀l;m-bòl / òbòl ; ; ; ; ; ; ; ; ;;;;
290. ;debout 1 ;°tɛ̀lÍtɛ̀lÍ ;tə́ntə̀lé;té / beté;tétèl ; ;tîtjěl / mìtîtjěl ;tə́tə̀lî;tɛ́tɛ́lī; ;cîcjěl ; ; ;*tédam (ABCH) ; ;gyeli : posture, position;;;
291. ;debout 2 ;°tɛ́P(à) ;;tɛ́bɔ; ;tâbtə́tə̀bê ;è-tjɛ̂b ; ; ; ;lè-tjɛ̂b; ; ; ; ;;;;
292. ;déchirer 1 ;°ɲà ;ɲɛ̀ɛ̀;;ɛ̀-ɲàw ;ɲà ;è-ɲà ;ɲà ;à-ɲà ; ;lè-ɲà ; ; ; ; ;;;;
293. ;déchirer 2 ;°tàndÌ ;;tɛ̀ndɔ; ; ;è-tjɛ̀n ;tànd ; ;tɛndi ; ; ; ; ; ;;;;
294. ;décortiquer ;°lɔ́àlà ;lwálə̀;; ;lwâl ;è-lwâl ; ;à-lɔ̀lɔ̀;lwɔ ;lè-lwɔ̂l; ; ; ; ;;;;
295. ;défendre 1 ;°kɛ̀mb ;;;g̥ɛ̀m;kɛ̀mb ;è-kɛ̀m ; ; ; ;lè-kɛ̀m; ; ; ; ;;;;
296. ;défendre 2 ;°kàmbàlà ;;kàmbɔ (nà) ; ; ;è-kàmlè ;kàmbə̀lə̀; ;kamla ;lè-kàmlò ; ; ; ; ;;;;
297. ;défense d'éléphant ;°silO ;;le-síyɔ̀ / masíyɔ̀;mɛ̀-ʃjóó ; ; ; ;fɔ̀lɔ̀;siɔ / masiɔ ; ; ; ; ; ;;;;
298. ;déféquer ;°ɲàKÀ ;ɲàʔ;nyàà; ;ɲàɡ ;è-ɲàʔ ;ɲààɡ ;à-ɲàɡɔ̀ ;ɲaˤ (fumbɔ); ;ɲàʔ ; ; ; ;;;;
299. ;défricher ;°líà ;lè;líyɔ;ɛ̀-líì ;lî ;è-lî ;lî ;à-līɔ̀ ; ;lè-lî ; ;*tɩ́n; ; ;;;;
300. ;dehors 1 ;°kǒl ;;;pɛ-̌kǒl ;kúl ;kʊ̌l; ; ; ;kʊ̌l; ; ; ; ;;;;
301. ;dehors 2 ;°tón ;;; ;tón ; ;tón ; ;(pɛ) dɛn ; ; ; ; ; ;;;;
302. ;demain ;°máná ;ḿ-mánā;nàmɛ́nɔ́;ɟémɛ̀n;mán ;ómɛ́n ;mpə́mán;mɛ̄nɔ̄;na-mana ;ɩ́mjɛ́n;nà-mə́nə́;*jàná ; ; ;;;;
303. ;demander 1 ;°ɟîŋ ;;jíì;ɛ̀-ɟíì ;ɟí ;è-ɟî ; ;à-ɟîŋ ;dzii / dzii ;lè-ɟî ;dzí ; ; ; ;gyeli : poser une question. Noter absence de nasalisation sur les voyelles;;;
304. ;demander 2 ;°ɟɔ́mbà  ;;dwàmbo / gwámbɔ; ;ɟwâmb ;è-ɡwâm ;ɡwámb ;à-ɡwɔ̄mbɔ̀;n-ɟɥambɔ ;lè-ɡwɔ̂m; ;*dómb ; ; ;;;;
305. ;dent ;°ɟè(Ò) ;ɟə̀ / màɟə̀;le-gyɛ́  / magyɛ́;ɛ̀-ɟɛ̀ / mɛ̀ɟɛ̀ ;ɟò / mòɟò ;è-ɟjè / mèɟjè ;ɟə̀ / mə̀ɟə̀;à-ɟɛ̀ ;ɟɛ / maɟɛ ;lè-ɟjè ;ɟə̀ / mə̀ɟə̀; ; ; ;;;;
306. ;dépasser ;°lànɡà ;lâŋ;là̰; ;lànɡ ;è-làà ; ; ;laŋ ;lè-làà ;làŋá; ; ; ;gyeli : autre mot bálɛ;;;
307. ;dépecer ;°bàŋ ;;;ɛ̀-bà ;bà ;è-bà ;bà ;à-ɓàŋ ;ba ;lè-bà ; ; ; ; ;;;;
308. ;déraciner 1 ;°ɟù ;;;ɛ̀-ɡù ; ;è-ɟù ;ɡù ; ; ;lè-ɟù ; ; ; ; ;;;;
309. ;déraciner 2 ;°pùmb(Ì) ;pə́mà;pámo; ;fùmb ;è-pìm ;fùmb ; ; ;lè-pwìm ; ; ; ; ;gyeli et swo : peut aussi dire 'apparaître' ;;;
310. ;dérober ;°ɟíbà ;dvwúə̀;jíwɔ ;ɛ̀-ɟúù ;ɟíbɔ̀ ;è-ɟíbè ;ɟíwò ;à-ɟībɔ̀ ;dziɔ ;lè-ɟíbô ;dzúà  ;*jíb ; ; ;;;;
311. ;derrière ;°bísÀ ;;písɛ̀;pɛ̀-b̥îs ;mpízò ;píhè (píè) ; ;mpūzɔ̀ ;pfiɛ ;píhò ; ; ;*bícà (BCH); ;;;;
312. ;descendre ;°sùlÀ ;ʃùlə̀;fùlɔ / sìlɛga;ɛ̀-sùl ;ʃùlɔ̀ ;è-sùlò ;ʃùlə̀ ;à-ʃùlɔ̀ ;fulɛ ;lè-sùlò ; ; ; ; ;;;;
313. ;désherber ;°ɟùlà ;ɡvə́lì;dvùbɛlɛ;ɛ̀-ɡɥì ;ɟùlɔ̀ ;è-ɟùlò ;ɡùlə̀ ; ; ;lè-ɟùlò ; ; ; ; ;;;;
314. ;dessus, en haut ;°kólV ;;;pɛ̀-ɛ̀kó ; ;kʊ́ ; ;kōlɔ̄ ; ;kʊ́ ; ;*ɡʊ̀dʊ́  ; ; ;Possible de faire un cognat avec swo et gyeli ?;;;
315. ;détacher 1 ;°tìì ;tsìì;tsḭ̂;ɛ̀-tìì ; ;è-tìì ; ; ;tsii ;lè-tìì ; ; ; ; ;"gyeli : recip = tsíngala ; suggère nasale dans la forme sous-jacente";;;
316. ;détacher 2 ;°ɡwìnɟ ;;; ;wììnɟ ;è-ɡwìh ;wìnʒ ; ; ;lè-ɡwìh ; ; ; ; ;;;;
317. ;dette ;°(N-)bólá ;mbólà / màmbólà;mbúlá / mambúlá; ;mpwélá / mòmpwélá ;mpʊ́lá / mèmpʊ́là ;mpwálá / mə̀mpwálá; ;mbʰula / mambʰula ; ; ; ; ; ;;;;
318. ;deuil ;°bumba ;;;ɛ́-pùm / mɛ́pùm ; ;mpúmá ;bùùmb / ìbùùmb ; ; ; ; ; ; ; ;;;;
